areaName,value_float
North Central Tennessee nonmetropolitan area,36410.0
"Montgomery, AL",46010.0
Northeast Mississippi nonmetropolitan area,53200.0
"Cape Girardeau, MO-IL",56990.0
East Kentucky nonmetropolitan area,58060.0
"Gainesville, FL",59550.0
North Missouri nonmetropolitan area,60420.0
Western Pennsylvania nonmetropolitan area,60900.0
South Central Kentucky nonmetropolitan area,63080.0
South Georgia nonmetropolitan area,63250.0
Central Indiana nonmetropolitan area,64470.0
Northwest Oklahoma nonmetropolitan area,64520.0
"San Juan-Carolina-Caguas, PR",64820.0
"Charleston, WV",67410.0
West Central Illinois nonmetropolitan area,67720.0
North Northeastern Ohio nonmetropolitan area,68700.0
"Baton Rouge, LA",68730.0
"Gainesville, GA",69320.0
Upper Peninsula of Michigan nonmetropolitan area,69510.0
"Springfield, MO",70000.0
"Chattanooga, TN-GA",70430.0
"Ames, IA",70630.0
"Laredo, TX",71250.0
Southern Indiana nonmetropolitan area,71380.0
"Toledo, OH",71480.0
"Evansville, IN-KY",71660.0
"Tallahassee, FL",71670.0
"Altoona, PA",71930.0
"Savannah, GA",72090.0
"McAllen-Edinburg-Mission, TX",73270.0
"Flint, MI",73890.0
"Utica-Rome, NY",74050.0
"Logan, UT-ID",74150.0
Northern Pennsylvania nonmetropolitan area,74160.0
"Dubuque, IA",74180.0
Balance of Lower Peninsula of Michigan nonmetropolitan area,74300.0
"Elkhart-Goshen, IN",74310.0
Middle Georgia nonmetropolitan area,74480.0
"Joplin, MO",74490.0
"Erie, PA",74650.0
Northwest Lower Peninsula of Michigan nonmetropolitan area,74680.0
Piedmont North Carolina nonmetropolitan area,74960.0
North Valley-Northern Mountains Region of California nonmetropolitan area,76250.0
"Panama City, FL",76340.0
"Terre Haute, IN",76440.0
"Pensacola-Ferry Pass-Brent, FL",76590.0
Central Missouri nonmetropolitan area,76900.0
Southern Ohio nonmetropolitan area,77410.0
"Tyler, TX",77480.0
"Columbia, MO",77560.0
Eastern Utah nonmetropolitan area,77620.0
North Texas Region of Texas nonmetropolitan area,77690.0
"Lancaster, PA",77990.0
"Clarksville, TN-KY",78020.0
"Fort Wayne, IN",78060.0
Northeast Oklahoma nonmetropolitan area,78080.0
"Florence, SC",78200.0
"Corpus Christi, TX",78410.0
"Augusta-Richmond County, GA-SC",78530.0
Northern Indiana nonmetropolitan area,78660.0
"Battle Creek, MI",78800.0
"Portsmouth, NH-ME",78800.0
"Jackson, MS",78900.0
"South Bend-Mishawaka, IN-MI",79080.0
"Ithaca, NY",79420.0
"Bakersfield, CA",79520.0
"Dayton, OH",79600.0
"New Orleans-Metairie, LA",79870.0
West Central-Southwest New Hampshire nonmetropolitan area,79960.0
"Midland, MI",79970.0
Southeast Oklahoma nonmetropolitan area,79970.0
"Mobile, AL",80020.0
"Scranton--Wilkes-Barre--Hazleton, PA",80030.0
"Salinas, CA",80310.0
Northern Vermont nonmetropolitan area,80860.0
Northeast Iowa nonmetropolitan area,80870.0
"Bloomington, IN",80980.0
"Kalamazoo-Portage, MI",81130.0
"Lafayette-West Lafayette, IN",81140.0
"Deltona-Daytona Beach-Ormond Beach, FL",81160.0
"Lansing-East Lansing, MI",81180.0
"Flagstaff, AZ",81300.0
"Vallejo-Fairfield, CA",81390.0
"Indianapolis-Carmel-Anderson, IN",81510.0
"Iowa City, IA",81590.0
"El Paso, TX",82140.0
"Dover-Durham, NH-ME",82270.0
Mountain North Carolina nonmetropolitan area,82340.0
"Albuquerque, NM",82360.0
"Warner Robins, GA",82550.0
"Pittsburgh, PA",82580.0
"Reno, NV",82680.0
"Yuma, AZ",82700.0
"Lexington-Fayette, KY",82720.0
Southeast Iowa nonmetropolitan area,82850.0
Arizona nonmetropolitan area,82930.0
Big Thicket Region of Texas nonmetropolitan area,82930.0
Central East New York nonmetropolitan area,82950.0
"Columbus, GA-AL",83060.0
Alaska nonmetropolitan area,83220.0
North Georgia nonmetropolitan area,83320.0
"Birmingham-Hoover, AL",83330.0
"Killeen-Temple, TX",83570.0
"Niles-Benton Harbor, MI",83640.0
"Anchorage, AK",83940.0
"Grand Rapids-Wyoming, MI",84010.0
"Rochester, NY",84080.0
South Central Wisconsin nonmetropolitan area,84380.0
Capital/Northern New York nonmetropolitan area,84430.0
"Columbia, SC",84430.0
"Kansas City, MO-KS",84450.0
"Tulsa, OK",84450.0
"Blacksburg-Christiansburg-Radford, VA",84650.0
"Ocala, FL",84650.0
"Harrisburg-Carlisle, PA",84740.0
South Nebraska nonmetropolitan area,85070.0
"St. Louis, MO-IL",85070.0
"Youngstown-Warren-Boardman, OH-PA",85340.0
West Kentucky nonmetropolitan area,85610.0
"Lewiston-Auburn, ME",85900.0
"Cape Coral-Fort Myers, FL",85970.0
Southwest Maine nonmetropolitan area,86010.0
"Fresno, CA",86130.0
Eastern Oregon nonmetropolitan area,86220.0
"Roanoke, VA",86290.0
"Las Vegas-Henderson-Paradise, NV",86390.0
Eastern New Mexico nonmetropolitan area,86400.0
"Louisville/Jefferson County, KY-IN",86810.0
"Lincoln, NE",86880.0
"Champaign-Urbana, IL",86900.0
Southwest New York nonmetropolitan area,87060.0
"Knoxville, TN",87310.0
Nevada nonmetropolitan area,87440.0
Northeast Nebraska nonmetropolitan area,87510.0
"Hickory-Lenoir-Morganton, NC",87580.0
"Appleton, WI",87650.0
"Kingston, NY",87790.0
"Oklahoma City, OK",88170.0
"Lubbock, TX",88210.0
"Spartanburg, SC",88210.0
"Orlando-Kissimmee-Sanford, FL",88460.0
"Cedar Rapids, IA",88480.0
"Greenville-Anderson-Mauldin, SC",88980.0
"Ogden-Clearfield, UT",89000.0
"Manchester, NH",89140.0
"Stockton-Lodi, CA",89250.0
Coastal Plains Region of Texas nonmetropolitan area,89320.0
West Northwestern Ohio nonmetropolitan area,89380.0
"College Station-Bryan, TX",89660.0
"Hilton Head Island-Bluffton-Beaufort, SC",90200.0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",90260.0
"York-Hanover, PA",90520.0
"Syracuse, NY",90630.0
"Springfield, MA-CT",90860.0
Southwest Oklahoma nonmetropolitan area,90920.0
"Waco, TX",90980.0
Hill Country Region of Texas nonmetropolitan area,91010.0
West Texas Region of Texas nonmetropolitan area,91010.0
"Visalia-Porterville, CA",91450.0
"Crestview-Fort Walton Beach-Destin, FL",91460.0
"Sioux Falls, SD",91460.0
"Tuscaloosa, AL",91470.0
"Binghamton, NY",91610.0
Southern Pennsylvania nonmetropolitan area,91900.0
"Beaumont-Port Arthur, TX",91970.0
"Springfield, IL",92370.0
"Albany, GA",92820.0
"Cleveland-Elyria, OH",92990.0
"Sacramento--Roseville--Arden-Arcade, CA",93020.0
"Wichita, KS",93030.0
"Port St. Lucie, FL",93160.0
"Bangor, ME",93220.0
Northeast Maine nonmetropolitan area,93270.0
"Jackson, MI",93330.0
"Miami-Fort Lauderdale-West Palm Beach, FL",93540.0
"Sioux City, IA-NE-SD",93560.0
"Macon, GA",94120.0
"Napa, CA",94230.0
Central New Hampshire nonmetropolitan area,94390.0
"Columbus, OH",94390.0
Central Oregon nonmetropolitan area,94570.0
"Charleston-North Charleston, SC",94650.0
"Danbury, CT",95240.0
"Eugene, OR",95380.0
"Huntington-Ashland, WV-KY-OH",95520.0
"Omaha-Council Bluffs, NE-IA",95550.0
"Tucson, AZ",95960.0
"Bend-Redmond, OR",95970.0
Coast Oregon nonmetropolitan area,96000.0
Northeastern Wisconsin nonmetropolitan area,96020.0
"New Haven, CT",96120.0
"Detroit-Warren-Dearborn, MI",96970.0
"La Crosse-Onalaska, WI-MN",97020.0
"North Port-Sarasota-Bradenton, FL",97090.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",97290.0
"Houston-The Woodlands-Sugar Land, TX",97490.0
"Provo-Orem, UT",97650.0
"Lakeland-Winter Haven, FL",97660.0
"Buffalo-Cheektowaga-Niagara Falls, NY",97770.0
"Palm Bay-Melbourne-Titusville, FL",97770.0
"Salt Lake City, UT",98010.0
"Saginaw, MI",98260.0
"Midland, TX",98340.0
"Reading, PA",98350.0
"Sierra Vista-Douglas, AZ",98390.0
Southeast Coastal North Carolina nonmetropolitan area,98560.0
"Waterloo-Cedar Falls, IA",98600.0
"Allentown-Bethlehem-Easton, PA-NJ",98780.0
Southwest Colorado nonmetropolitan area,98900.0
"Janesville-Beloit, WI",98980.0
"Naples-Immokalee-Marco Island, FL",99100.0
"Ann Arbor, MI",99220.0
"Albany-Schenectady-Troy, NY",99250.0
"Peoria, IL",99530.0
"Redding, CA",100240.0
"Worcester, MA-CT",100340.0
"Little Rock-North Little Rock-Conway, AR",100370.0
"Pueblo, CO",100380.0
"Davenport-Moline-Rock Island, IA-IL",100420.0
"Green Bay, WI",100510.0
"Atlantic City-Hammonton, NJ",100580.0
"St. George, UT",100780.0
Upper Savannah South Carolina nonmetropolitan area,100910.0
"Memphis, TN-MS-AR",101120.0
"Jacksonville, FL",101190.0
"Tampa-St. Petersburg-Clearwater, FL",101600.0
"Greensboro-High Point, NC",101720.0
"Oshkosh-Neenah, WI",101730.0
"Cincinnati, OH-KY-IN",101750.0
"Amarillo, TX",101880.0
"Riverside-San Bernardino-Ontario, CA",102180.0
Northwest Colorado nonmetropolitan area,102220.0
"Fargo, ND-MN",102480.0
"Eau Claire, WI",102770.0
"Wausau, WI",102940.0
"Asheville, NC",103220.0
"Medford, OR",103440.0
"Barnstable Town, MA",103600.0
"Modesto, CA",103760.0
"Boise City, ID",104000.0
"Madison, WI",104140.0
"Greenville, NC",104560.0
"Atlanta-Sandy Springs-Roswell, GA",104640.0
"Rockford, IL",104940.0
"Virginia Beach-Norfolk-Newport News, VA-NC",105280.0
"Milwaukee-Waukesha-West Allis, WI",105610.0
"Olympia-Tumwater, WA",105930.0
"Des Moines-West Des Moines, IA",106210.0
"San Antonio-New Braunfels, TX",106250.0
"Huntsville, AL",106270.0
"Fayetteville, NC",106490.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",106760.0
"California-Lexington Park, MD",107260.0
"Portland-South Portland, ME",107490.0
"Chicago-Naperville-Elgin, IL-IN-WI",108580.0
"Corvallis, OR",108730.0
"Dallas-Fort Worth-Arlington, TX",108870.0
"Greeley, CO",108920.0
"Phoenix-Mesa-Scottsdale, AZ",109500.0
"Akron, OH",110230.0
"Salem, OR",110390.0
"Grand Junction, CO",111360.0
"Denver-Aurora-Lakewood, CO",111750.0
"Austin-Round Rock, TX",111760.0
"Hartford-West Hartford-East Hartford, CT",112750.0
"Santa Rosa, CA",112770.0
"Colorado Springs, CO",112820.0
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",112840.0
"Bremerton-Silverdale, WA",113190.0
"Wilmington, NC",113320.0
"Fort Collins, CO",113830.0
"Minneapolis-St. Paul-Bloomington, MN-WI",114560.0
"Kingsport-Bristol-Bristol, TN-VA",115440.0
"Richmond, VA",115800.0
"Spokane-Spokane Valley, WA",116770.0
"Charlottesville, VA",117410.0
"Winston-Salem, NC",117450.0
"Burlington-South Burlington, VT",117650.0
"New Bedford, MA",118060.0
"Bismarck, ND",118610.0
Central Kentucky nonmetropolitan area,121700.0
"Boston-Cambridge-Nashua, MA-NH",122020.0
"Norwich-New London-Westerly, CT-RI",123340.0
"Urban Honolulu, HI",124420.0
"Los Angeles-Long Beach-Anaheim, CA",124810.0
"Boulder, CO",125520.0
"Pittsfield, MA",125860.0
"Baltimore-Columbia-Towson, MD",126430.0
"Portland-Vancouver-Hillsboro, OR-WA",126450.0
"Dover, DE",126460.0
"Raleigh, NC",126950.0
"Oxnard-Thousand Oaks-Ventura, CA",127300.0
"San Diego-Carlsbad, CA",127300.0
"Durham-Chapel Hill, NC",127310.0
"Providence-Warwick, RI-MA",127820.0
"Duluth, MN-WI",128350.0
"Santa Maria-Santa Barbara, CA",128620.0
"Santa Cruz-Watsonville, CA",129010.0
"Charlotte-Concord-Gastonia, NC-SC",133220.0
"New York-Newark-Jersey City, NY-NJ-PA",133560.0
"Trenton, NJ",133960.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",135080.0
"Seattle-Tacoma-Bellevue, WA",135610.0
"Bridgeport-Stamford-Norwalk, CT",137420.0
"San Francisco-Oakland-Hayward, CA",163430.0
"San Jose-Sunnyvale-Santa Clara, CA",171800.0
"Idaho Falls, ID",
"Kennewick-Richland, WA",
